iterations, deviation
0, 0.00407361
1, 0.000626604
2, 0.000868439
3, 0.000221474
4, 0.000451833
5, 0.000923115
6, 0.000756687
7, 0.000486352
8, 0.000666541
9, 0.000534693
10, 0.000418077
11, 0.000686266
12, 0.000819402
13, 0.00089198
14, 0.0004464
15, 0.000455389
16, 0.00106467
17, 0.000256544
18, 0.000279094
19, 0.000797306
20, 0.000899946
21, 0.000366079
22, 0.000562536
23, 0.00109562
24, 0.000763108
25, 0.000198461
26, 0.000178101
27, 0.000298088
28, 0.000599535
29, 0.00155763
30, 0.000801748
31, 0.0014071
32, 0.00079749
33, 0.000326837
34, 0.000436368
35, 0.000564063
36, 0.000161481
37, 0.000518664
38, 0.000423664
39, 0.000269412
40, 0.000820976
41, 0.000450904
42, 0.000420303
43, 0.000438638
44, 0.000130969
45, 0.000301206
46, 0.000398609
47, 0.000335922
48, 0.000359728
49, 0.000609626
50, 0.00119764
51, 0.000654376
52, 0.000713359
53, 0.000856955
54, 0.000389822
55, 0.000233123
56, 0.000224527
57, 0.000423361
58, 0.000635103
59, 0.000840367
60, 0.000683823
61, 0.000571162
62, 0.000633865
63, 0.000440029
64, 0.000507699
65, 0.000233202
66, 0.000677943
67, 0.000307969
68, 0.00154243
69, 0.000254996
70, 0.000530169
71, 0.000599775
72, 0.000512064
73, 0.000586155
74, 0.000348819
75, 0.000638424
76, 0.000662279
77, 0.00132033
78, 0.00135128
79, 0.000585204
80, 0.000195901
81, 0.000702228
82, 0.000615178
83, 0.000293606
84, 0.000366411
85, 0.000606205
86, 0.00117382
87, 0.00177705
88, 0.000340439
89, 0.000371332
90, 0.000542639
91, 0.000770631
92, 0.000491247
93, 0.000346448
94, 0.000313777
95, 0.000633496
96, 0.000147822
97, 0.00117259
98, 0.00194398
99, 0.00052898
100, 0.00040227
101, 0.000499839
102, 0.000568275
103, 0.00043271
104, 0.000799996
105, 0.000608937
106, 0.000865654
107, 0.000401314
108, 0.000375064
109, 0.000326896
110, 0.000595823
111, 0.00108111
112, 0.000613011
113, 0.000397833
114, 0.000359472
115, 0.00117897
116, 0.000665742
117, 0.000691807
118, 0.000611256
119, 0.000640846
120, 0.000318118
121, 0.000283542
122, 0.000859854
123, 0.000481841
124, 0.000607007
125, 0.000362975
126, 0.000643175
127, 0.000870315
128, 0.000239408
129, 0.00144694
130, 0.000993679
131, 0.00117191
132, 0.000792465
133, 0.000685356
134, 0.000332027
135, 0.000451252
136, 0.000215204
137, 0.000785313
138, 0.00048132
139, 0.000250652
140, 0.000700742
141, 0.00110556
142, 0.00118887
143, 0.00152579
144, 0.000651655
145, 0.00115865
146, 0.00117163
147, 0.000676793
148, 0.000339593
149, 0.00123608
150, 0.000560039
151, 0.000631374
152, 0.00146352
153, 0.00057463
154, 0.000695173
155, 0.000293498
156, 0.00112871
157, 0.000646109
158, 0.000671069
159, 0.000858578
160, 0.000675035
161, 0.000312919
162, 0.000259284
163, 0.000729742
164, 0.000835256
165, 0.000408597
