iterations, deviation
0, 0.0102173
1, 0.00064272
2, 0.0010572
3, 0.00127264
4, 0.00074096
5, 0.00030216
6, 7.216e-05
7, 0.00012968
8, 0.0008972
9, 0.00036568
10, 0.00021144
11, 0.00066072
12, 0.0003396
13, 0.00088144
14, 0.00043904
15, 0.00053128
16, 0.00033208
17, 0.00066784
18, 0.00083512
19, 0.00220392
20, 0.00092968
21, 0.00051624
22, 0.00079288
23, 0.0011492
24, 0.0030652
25, 0.00063488
26, 0.00202704
27, 0.00155176
28, 0.0004996
29, 0.0002272
30, 0.00048512
31, 0.0008924
32, 0.00174
33, 0.00120224
34, 0.0003736
35, 0.00208064
36, 0.00036456
37, 0.00252832
38, 0.0014076
39, 0.00016432
40, 0.00070304
41, 0.00069656
42, 0.00087704
43, 0.00053536
44, 0.00138896
45, 0.00087088
46, 0.00076024
47, 0.0003144
48, 0.00065424
49, 0.00043792
50, 0.00119152
51, 0.00043952
52, 0.000442
53, 0.00031256
54, 0.00050568
55, 0.00047408
56, 0.00047384
57, 0.00105824
58, 0.00029856
59, 0.00074256
60, 0.00022328
61, 0.00092496
62, 0.00147096
63, 0.00032872
64, 0.00098328
65, 0.0005828
66, 0.00082528
67, 0.0009524
68, 0.00030384
69, 0.00134584
70, 0.0008696
71, 0.00061368
72, 0.00047016
73, 0.00056368
74, 0.00046424
75, 0.00056128
76, 0.00068744
77, 0.0006744
78, 0.00034104
79, 0.00050432
80, 0.00100176
81, 0.0004964
82, 0.000824
83, 0.00011784
84, 0.0006624
85, 0.0009044
86, 0.00057224
87, 0.0005528
88, 0.0005452
89, 0.00080696
90, 0.00017032
91, 0.00070104
92, 0.00059328
93, 0.00021936
94, 0.00030088
95, 0.00080848
96, 0.00078192
97, 0.00047024
98, 0.00148704
99, 0.00044856
100, 0.00080816
101, 0.00031896
102, 9.136e-05
103, 0.0004248
104, 0.00076768
105, 0.00033616
106, 0.00025592
107, 0.00019552
108, 0.00015856
109, 0.00056008
110, 0.00073944
111, 0.00044592
112, 0.00079864
113, 0.00089632
114, 0.00046752
115, 0.00060424
116, 0.00029312
117, 0.00027032
118, 0.00071488
119, 0.00070592
120, 0.00083464
121, 0.00019288
122, 0.00088744
123, 0.00051624
124, 0.00132272
125, 0.0005196
126, 0.00076488
127, 0.0009792
128, 0.00181352
129, 0.0004956
130, 0.0001964
131, 0.00024576
132, 0.00025336
133, 0.00048568
134, 0.00067872
135, 0.00058592
136, 0.0005484
137, 0.001132
138, 0.000652
139, 0.00045064
140, 0.00087976
141, 0.0005536
142, 0.0003184
143, 0.0004964
144, 0.00068584
145, 0.00047888
146, 0.00233504
147, 0.00189736
148, 0.0003648
149, 0.000718
150, 0.000566
151, 0.00165664
152, 0.0003956
153, 0.00054336
154, 0.00055656
155, 0.00138424
156, 0.00129176
157, 0.00055128
158, 0.00024336
159, 0.00065808
160, 0.00032928
161, 0.0003516
162, 0.00033144
163, 0.00028728
164, 0.00025272
165, 0.00079608
