iterations, deviation
0, 0.0541811
1, 0.00254634
2, 0.000430183
3, 0.00028796
4, 9.11027e-05
5, 4.72239e-05
6, 0.000110447
7, 3.07242e-05
8, 3.17921e-05
9, 8.28526e-05
10, 6.24237e-05
11, 2.62838e-05
12, 2.85927e-05
13, 3.33094e-05
14, 2.31302e-05
15, 4.10859e-05
16, 3.18157e-05
17, 8.28438e-06
18, 6.29638e-05
19, 9.41558e-05
20, 4.16116e-05
21, 3.45305e-05
22, 0.000100283
23, 4.63012e-05
24, 3.62984e-05
25, 4.12938e-05
26, 6.34808e-05
27, 4.46814e-05
28, 6.86818e-05
29, 6.33611e-05
30, 1.60247e-05
31, 3.67688e-05
32, 3.96661e-05
33, 2.27555e-05
34, 2.32626e-05
35, 3.73412e-05
36, 4.96502e-05
37, 5.39254e-05
38, 4.47501e-05
39, 4.5304e-05
40, 2.09913e-05
41, 1.64803e-05
42, 1.70204e-05
43, 6.16804e-05
44, 4.6638e-05
45, 1.32439e-05
46, 3.85312e-05
47, 3.49169e-05
48, 2.16272e-05
49, 2.07643e-05
50, 1.75976e-05
51, 4.70088e-05
52, 5.77711e-05
53, 1.58894e-05
54, 5.04472e-05
55, 3.33633e-05
56, 2.17239e-05
57, 4.62126e-05
58, 4.63872e-05
59, 5.48511e-05
60, 2.7201e-05
61, 1.14873e-05
62, 5.85268e-05
63, 6.75879e-05
64, 4.3337e-05
65, 6.07563e-05
66, 3.2295e-05
67, 7.04691e-05
68, 5.74155e-05
69, 3.06032e-05
70, 7.1246e-05
71, 1.83521e-05
72, 4.42687e-05
73, 2.11064e-05
74, 3.87313e-05
75, 4.53801e-05
76, 4.92841e-05
77, 2.25079e-05
78, 5.5682e-05
79, 3.88252e-05
80, 4.78079e-05
81, 1.53052e-05
82, 4.49527e-05
83, 8.05599e-05
84, 6.03811e-05
85, 3.11747e-05
86, 5.16004e-05
87, 5.38481e-05
88, 1.75651e-05
89, 2.54655e-05
90, 4.48007e-05
91, 7.06296e-05
92, 3.41775e-05
93, 2.20423e-05
94, 2.47262e-05
95, 2.47584e-05
96, 3.11954e-05
97, 8.0711e-05
98, 4.83184e-05
99, 2.61379e-05
100, 2.31385e-05
101, 5.02522e-05
102, 2.72728e-05
103, 3.27625e-05
104, 4.48301e-05
105, 5.33723e-05
106, 2.81253e-05
107, 3.44948e-05
108, 4.68654e-05
109, 6.00132e-05
110, 3.01574e-05
111, 4.66871e-05
112, 4.01794e-05
113, 2.48457e-05
114, 6.27288e-05
115, 2.58697e-05
116, 4.55405e-05
117, 1.82006e-05
118, 3.24708e-05
119, 2.19602e-05
120, 3.01377e-05
121, 0.000124312
122, 6.62488e-05
123, 3.01395e-05
124, 3.51675e-05
125, 3.93408e-05
126, 5.18947e-05
127, 2.34443e-05
128, 1.86458e-05
129, 1.09908e-05
130, 5.93553e-05
131, 7.19279e-05
132, 1.81646e-05
