Load, Flux
0, 342
1, 408
2, 474
3, 539
4, 608
5, 670
6, 733
7, 796
8, 857
9, 906
10, 965
11, 1014
12, 1059
13, 1108
14, 1150
15, 1183
16, 1221
17, 1248
18, 1277
19, 1301
20, 1315
21, 1337
22, 1349
23, 1365
24, 1365
25, 1366
26, 1372
27, 1371
28, 1361
29, 1354
30, 1343
29, 1359
28, 1364
27, 1378
26, 1373
25, 1369
24, 1371
23, 1363
22, 1348
21, 1340
20, 1323
19, 1297
18, 1275
17, 1256
16, 1220
15, 1186
14, 1147
13, 1106
12, 1062
11, 1011
10, 962
9, 904
8, 847
7, 793
6, 732
5, 667
4, 605
3, 540
2, 475
1, 408
0, 340
