Load, Flux
0, 3305
1, 3277
2, 3232
3, 3187
4, 3174
5, 3114
6, 3005
7, 2971
8, 2869
9, 2757
10, 2724
11, 2619
12, 2519
13, 2427
14, 2293
15, 2226
16, 2107
17, 1955
18, 1836
19, 1696
20, 1571
21, 1387
22, 1235
23, 1059
24, 836
25, 679
26, 490
27, 316
28, 119
29, 20
28, 915
27, 1146
26, 1282
25, 1350
24, 1424
23, 1568
22, 1624
21, 1760
20, 1876
19, 1975
18, 2074
17, 2140
16, 2239
15, 2333
14, 2424
13, 2487
12, 2567
11, 2664
10, 2744
9, 2811
8, 2873
7, 2921
6, 2977
5, 3059
4, 3079
3, 3148
2, 3191
1, 3209
0, 3193
