Load, Flux
0, 746
1, 1008
2, 1244
3, 1408
4, 1525
5, 1679
6, 1766
7, 1878
8, 1951
9, 2046
10, 2084
11, 2087
12, 2101
13, 2125
14, 2087
15, 2071
16, 2043
17, 1969
18, 1909
19, 1796
20, 1683
21, 1599
22, 1438
23, 1294
24, 1158
25, 942
26, 749
27, 551
28, 380
29, 146
28, 1155
27, 1407
26, 1471
25, 1553
24, 1629
23, 1762
22, 1794
21, 1905
20, 1983
19, 2059
18, 2082
17, 2147
16, 2160
15, 2186
14, 2182
13, 2167
12, 2157
11, 2151
10, 2122
9, 2056
8, 2006
7, 1914
6, 1791
5, 1692
4, 1562
3, 1425
2, 1223
1, 1059
0, 839
