Load, Flux
0, 614
1, 671
2, 718
3, 764
4, 811
5, 850
6, 895
7, 928
8, 960
9, 991
10, 1019
11, 1039
12, 1062
13, 1077
14, 1095
15, 1110
16, 1120
17, 1129
18, 1144
19, 1138
20, 1142
21, 1148
22, 1142
23, 1143
24, 1137
25, 1126
26, 1118
27, 1107
28, 1087
29, 1078
30, 1059
31, 1033
32, 1008
33, 984
34, 956
35, 923
36, 890
37, 846
38, 795
39, 751
40, 699
39, 750
38, 806
37, 836
36, 880
35, 929
34, 960
33, 994
32, 1018
31, 1040
30, 1054
29, 1073
28, 1100
27, 1119
26, 1117
25, 1126
24, 1137
23, 1143
22, 1142
21, 1141
20, 1145
19, 1141
18, 1142
17, 1130
16, 1114
15, 1109
14, 1085
13, 1079
12, 1063
11, 1044
10, 1009
9, 998
8, 962
7, 932
6, 896
5, 859
4, 811
3, 771
2, 721
1, 664
0, 613
