Load, Flux
0, 344
1, 332
2, 342
3, 342
4, 334
5, 352
6, 342
7, 321
8, 306
9, 270
10, 251
11, 233
12, 230
13, 208
14, 185
15, 160
16, 157
17, 115
18, 117
19, 156
20, 192
21, 230
22, 241
23, 245
24, 237
25, 247
26, 241
27, 217
28, 214
29, 206
30, 168
31, 117
32, 96
33, 98
34, 78
35, 66
36, 63
37, 61
38, 68
39, 63
40, 65
39, 74
38, 77
37, 93
36, 97
35, 104
34, 115
33, 123
32, 134
31, 145
30, 156
29, 170
28, 198
27, 205
26, 208
25, 222
24, 231
23, 212
22, 204
21, 188
20, 207
19, 174
18, 175
17, 156
16, 192
15, 217
14, 234
13, 232
12, 249
11, 263
10, 263
9, 282
8, 287
7, 303
6, 312
5, 321
4, 339
3, 343
2, 322
1, 304
0, 291
