Load, Flux
0, 188
1, 207
2, 223
3, 231
4, 243
5, 250
6, 257
7, 262
8, 270
9, 277
10, 278
11, 286
12, 286
13, 289
14, 292
15, 291
16, 296
17, 296
18, 296
19, 296
20, 297
21, 299
22, 298
23, 298
24, 296
25, 292
26, 295
27, 291
28, 284
29, 281
30, 281
31, 276
32, 271
33, 264
34, 260
35, 253
36, 244
37, 235
38, 220
39, 214
40, 194
39, 216
38, 229
37, 235
36, 245
35, 253
34, 255
33, 269
32, 273
31, 277
30, 283
29, 286
28, 289
27, 292
26, 295
25, 294
24, 293
23, 298
22, 299
21, 300
20, 294
19, 301
18, 301
17, 296
16, 295
15, 293
14, 292
13, 288
12, 286
11, 283
10, 280
9, 275
8, 269
7, 268
6, 252
5, 248
4, 240
3, 227
2, 220
1, 206
0, 188
