Load, Flux
0, 323
1, 393
2, 456
3, 517
4, 580
5, 647
6, 703
7, 757
8, 823
9, 875
10, 926
11, 969
12, 1021
13, 1063
14, 1096
15, 1144
16, 1170
17, 1195
18, 1227
19, 1243
20, 1277
21, 1281
22, 1297
23, 1307
24, 1311
25, 1315
26, 1324
27, 1323
28, 1312
29, 1299
30, 1283
31, 1273
32, 1253
33, 1228
34, 1204
35, 1166
36, 1142
37, 1100
38, 1059
39, 1014
40, 962
39, 1001
38, 1044
37, 1101
36, 1136
35, 1179
34, 1195
33, 1216
32, 1253
31, 1268
30, 1286
29, 1297
28, 1326
27, 1315
26, 1321
25, 1336
24, 1307
23, 1310
22, 1285
21, 1284
20, 1267
19, 1253
18, 1219
17, 1206
16, 1172
15, 1140
14, 1090
13, 1064
12, 1026
11, 979
10, 925
9, 877
8, 819
7, 764
6, 706
5, 646
4, 581
3, 521
2, 450
1, 390
0, 326
