Load, Flux
0, 0
1, 100
2, 199
3, 292
4, 369
5, 427
6, 462
7, 492
8, 515
9, 546
10, 537
11, 520
12, 516
13, 509
14, 453
15, 460
16, 458
17, 429
18, 396
19, 357
20, 350
21, 313
22, 295
23, 275
24, 272
25, 255
26, 236
27, 225
28, 206
29, 187
30, 208
31, 228
32, 250
33, 252
34, 260
35, 260
36, 254
37, 241
38, 242
39, 234
40, 223
41, 182
42, 170
43, 139
44, 109
45, 90
44, 209
43, 233
42, 242
41, 243
40, 277
39, 273
38, 267
37, 272
36, 296
35, 264
34, 254
33, 293
32, 291
31, 268
30, 249
29, 247
28, 296
27, 298
26, 290
25, 297
24, 303
23, 299
22, 353
21, 378
20, 340
19, 364
18, 385
17, 400
16, 400
15, 427
14, 430
13, 454
12, 445
11, 462
10, 441
9, 420
8, 411
7, 414
6, 402
5, 344
4, 290
3, 221
2, 158
1, 80
0, 0
