Load, Flux
0, 0
1, 384
2, 439
3, 495
4, 549
5, 597
6, 651
7, 707
8, 763
9, 813
10, 828
11, 869
12, 922
13, 940
14, 977
15, 981
16, 1022
17, 1039
18, 1057
19, 1073
20, 1092
21, 1101
22, 1107
23, 1125
24, 1136
25, 1091
26, 1157
27, 1126
28, 1104
29, 1096
30, 1087
31, 1128
32, 1087
33, 1070
34, 1071
35, 1029
36, 1017
37, 1010
38, 940
39, 946
40, 894
41, 861
42, 854
43, 790
44, 758
45, 674
44, 743
43, 782
42, 841
41, 851
40, 880
39, 936
38, 973
37, 1009
36, 1026
35, 1043
34, 1045
33, 1073
32, 1093
31, 1118
30, 1118
29, 1105
28, 1117
27, 1119
26, 1136
25, 1106
24, 1106
23, 1105
22, 1103
21, 1083
20, 1102
19, 1087
18, 1052
17, 1035
16, 1031
15, 974
14, 966
13, 950
12, 906
11, 871
10, 839
9, 809
8, 759
7, 717
6, 662
5, 616
4, 568
3, 516
2, 438
1, 398
0, 0
